district,date,t_start,r,lower,upper
Nanded,2020-08-08,4,2.1798473169298056,2.0207759674154016,2.3448594868561177
Nanded,2020-08-09,5,1.808711974302856,1.6768167734866875,1.9455294446634774
Nanded,2020-08-10,6,1.5957579708018752,1.4802033697504942,1.7155937980622284
Nanded,2020-08-11,7,1.2857164363840654,1.1874184361193187,1.3878677008431195
Nanded,2020-08-12,8,1.1024491257504838,1.0149839604463458,1.1934776348636853
Nanded,2020-08-13,9,1.0704904226066188,0.9863997013509788,1.1579717665111553
Nanded,2020-08-14,10,1.0285594992747669,0.947295329498994,1.1131200635127818
Nanded,2020-08-15,11,0.9361982858634768,0.8593764210229272,1.0162618557475829
Nanded,2020-08-16,12,0.9443140031816858,0.8674425147467597,1.02440237668631
Nanded,2020-08-17,13,1.3401396440142566,1.2481910642746332,1.4353095469407657
Nanded,2020-08-18,14,1.369226910934059,1.2764320858105929,1.4652315178464221
Nanded,2020-08-19,15,1.5234453267079466,1.4268387253905834,1.6231715464453553
Nanded,2020-08-20,16,1.798261306317137,1.6954202463512973,1.9040876793807868
Nanded,2020-08-21,17,1.762289960454047,1.6636135891544273,1.8637691148304982
Nanded,2020-08-22,18,1.3330716664624818,1.2508641905749436,1.4178583660182902
Nanded,2020-08-23,19,1.2496787820459765,1.1731884489770765,1.3285505060316785
Nanded,2020-08-24,20,1.0857614856226294,1.016466251903968,1.1573092958278406
Nanded,2020-08-25,21,1.0073503535079211,0.941885107490582,1.074983865122474
Nanded,2020-08-26,22,1.0443915996124191,0.9784084711471995,1.112497307977208
Nanded,2020-08-27,23,1.2462467741888024,1.174445944937855,1.3201478005327738
Nanded,2020-08-28,24,1.3490181767716003,1.274731884164156,1.4253785796762504
Nanded,2020-08-29,25,1.4882236838446974,1.4111701650622104,1.5672965476427365
Nanded,2020-08-30,26,1.429065060648962,1.3551006453065366,1.5049671617372626
Nanded,2020-08-31,27,1.5001751630878377,1.4263184668282207,1.5758699307837518
Nanded,2020-09-01,28,1.4914935509385063,1.419849270194662,1.56487642858536
Nanded,2020-09-02,29,1.4221104364901236,1.3542104608726906,1.4916479770875584
Nanded,2020-09-03,30,1.3917043312263713,1.3264972070948051,1.4584539964715202
Nanded,2020-09-04,31,1.4027798502304338,1.3390833653869372,1.4679355273747199
Nanded,2020-09-05,32,1.3448365223501413,1.2840835585805381,1.4069739601233848
Nanded,2020-09-06,33,1.1864715819727174,1.1308643867777501,1.2433946117481567
Nanded,2020-09-07,34,1.2318259205971547,1.176371515719438,1.2885395615925188
Nanded,2020-09-08,35,1.1471003144966174,1.0944970290196665,1.2009208948349732
Nanded,2020-09-09,36,1.131049500597684,1.0795937140584067,1.1836863614377535
Nanded,2020-09-10,37,1.1345044237855255,1.0835804422556923,1.1865813106207688
Nanded,2020-09-11,38,1.1596535230357494,1.108683848840532,1.2117525840011558
Nanded,2020-09-12,39,1.0543571381622834,1.0062591607560047,1.103562208311833
Nanded,2020-09-13,40,0.9596060459112012,0.9141691508234829,1.006129437853284
Nanded,2020-09-14,41,0.8911299373795843,0.8475902106713447,0.9357448203658961
Nanded,2020-09-15,42,0.8787506234790604,0.8355155359200565,0.9230609985960181
Nanded,2020-09-16,43,0.8884641592767889,0.8447929254362861,0.9332204639387823
Nanded,2020-09-17,44,0.8687152301165025,0.8252468068562511,0.9132836087645876
Nanded,2020-09-18,45,0.9466045247947017,0.9008551816235952,0.993471050627315
Nanded,2020-09-19,46,0.9443293683862944,0.8982771887474003,0.9915165524969113
Nanded,2020-09-20,47,0.798913645666004,0.7563595382628592,0.8426159353427682
Nanded,2020-09-21,48,0.7379770968945306,0.6968421526065531,0.7802749951832577
Nanded,2020-09-22,49,0.7592023637763915,0.716988046423517,0.8026071412936225
Nanded,2020-09-23,50,0.7604470433648944,0.717528345495124,0.8045947778445934
Nanded,2020-09-24,51,0.7751320860300323,0.731049673155695,0.820486808918687
Nanded,2020-09-25,52,0.8865333435448317,0.8385148664130854,0.9358699294072947
Nanded,2020-09-26,53,0.9875686614170098,0.936034514821631,1.0404642775927786
Nanded,2020-09-27,54,0.8919164066541034,0.8424436850049585,0.9427807777266941
Nanded,2020-09-28,55,0.8723361274436926,0.8231025469842623,0.9229795799594958
Nanded,2020-09-29,56,0.8711042061481569,0.8215426129340433,0.9220968790572576
Nanded,2020-09-30,57,0.8310187191707514,0.7822119496662121,0.8812816393771938
Nanded,2020-10-01,58,0.7469254117557806,0.7002501715151539,0.7950852253562463
Nanded,2020-10-02,59,0.7630045654374626,0.7152505288722747,0.8122799226382823
Nanded,2020-10-03,60,0.6979903815867288,0.6516347503694987,0.7459161960958014
Nanded,2020-10-04,61,0.7061986981266204,0.6587406301073364,0.7552840645448552
Nanded,2020-10-05,62,0.6921377663543118,0.6441990417728717,0.7417724788178285
Nanded,2020-10-06,63,0.7430360337574574,0.6922450215941418,0.7955996026130506
Nanded,2020-10-07,64,0.8272890287200882,0.7724422347095335,0.8839902666016741
Nanded,2020-10-08,65,0.8891355587778289,0.8310928037404123,0.9491096851282588
Nanded,2020-10-09,66,0.8367522872754499,0.7795905505588633,0.8959076357676384
Nanded,2020-10-10,67,0.8081328425381197,0.751286593685965,0.8670227546394704
Nanded,2020-10-11,68,0.7248349996596886,0.6703810464159907,0.7813849962612084
Nanded,2020-10-12,69,0.6769323076825495,0.6235818633539394,0.7324412731268922
Nanded,2020-10-13,70,0.5915304779981514,0.540810971200105,0.6444907416275069
Nanded,2020-10-14,71,0.5886354133125319,0.5368831721687825,0.6427347841725759
